transferor_loan_number,last_analysis_date,escrow_balance,balance_sign_consistent
TR-0000001,2026-06-11,950.04,Y
TR-0000002,2025-11-05,1295.01,Y
TR-0000003,2026-02-11,816.27,Y
TR-0000004,2026-04-11,11919.25,Y
TR-0000005,2026-07-06,4749.45,Y
TR-0000006,2026-06-21,1557.47,Y
TR-0000007,2026-06-02,1772.93,Y
TR-0000008,2026-03-12,1078.44,Y
TR-0000009,2026-04-25,5196.12,Y
TR-0000010,2025-12-16,737.10,Y
TR-0000011,2026-04-20,82.22,Y
TR-0000014,2025-11-13,3159.45,Y
TR-0000015,2026-06-27,2817.33,Y
TR-0000016,2026-05-29,1059.37,Y
TR-0000017,2026-02-09,-468.25,Y
TR-0000018,2026-01-01,8.74,Y
TR-0000019,2026-01-23,2058.63,Y
TR-0000020,2025-12-03,2757.57,Y
TR-0000021,2025-11-23,423.86,Y
TR-0000022,2026-06-03,71.91,Y
TR-0000023,2025-10-28,14.16,Y
TR-0000024,2026-03-31,2566.55,Y
TR-0000026,2026-07-22,4705.61,Y
TR-0000027,2026-02-18,2358.88,Y
TR-0000028,2026-04-06,1805.28,Y
TR-0000029,2026-03-20,74.27,Y
TR-0000030,2025-10-18,15.07,Y
TR-0000031,2025-11-07,2753.70,Y
TR-0000032,2026-07-18,30.97,Y
TR-0000034,2025-11-12,-984.25,Y
TR-0000035,2026-07-14,94.52,Y
TR-0000036,2026-01-15,2055.66,Y
TR-0000038,2026-05-04,4175.01,Y
TR-0000039,2026-03-08,2665.74,Y
TR-0000040,2026-01-13,1039.69,Y
TR-0000042,2026-05-02,1347.18,Y
TR-0000043,2026-02-13,3441.69,Y
TR-0000045,2025-12-10,1203.66,Y
TR-0000046,2025-11-06,2526.20,Y
TR-0000047,2026-07-19,2694.12,Y
TR-0000048,2026-04-25,30.11,Y
TR-0000049,2026-01-01,78.54,Y
TR-0000050,2025-06-01,3151.99,Y
TR-0000051,2025-06-01,-1648.66,Y
TR-0000052,2025-06-01,858.80,Y
TR-0000053,2026-07-16,2290.29,Y
TR-0000054,2026-07-12,93.87,Y
TR-0000055,2025-12-11,72.79,Y
TR-0000056,2025-12-06,3565.83,Y
TR-0000057,2026-06-22,6273.26,Y
TR-0000058,2026-02-02,2834.38,N
TR-0000060,2026-03-03,3466.99,Y
TR-0000061,2026-06-12,1876.41,Y
TR-0000063,2026-01-24,2546.12,Y
TR-0000064,2026-07-16,2809.66,Y
TR-0000065,2026-05-14,487.49,Y
TR-0000066,2025-11-24,2006.54,Y
TR-0000067,2025-10-18,2241.79,Y
TR-0000068,2026-05-13,-570.42,Y
TR-0000069,2026-07-23,1297.53,Y
TR-0000070,2026-02-01,979.94,Y
TR-0000071,2026-03-25,1.80,Y
TR-0000072,2026-06-24,1316.57,Y
TR-0000073,2025-11-08,1011.99,Y
TR-0000074,2026-02-07,1119.24,Y
TR-0000075,2025-11-01,1879.45,Y
TR-0000076,2026-05-16,8801.03,Y
TR-0000077,2025-12-02,1.10,Y
TR-0000079,2025-12-02,4234.50,Y
TR-0000080,2026-06-01,4494.24,Y
TR-0000081,2025-12-09,4168.84,Y
TR-0000083,2026-05-20,1711.84,Y
TR-0000084,2026-06-03,2013.81,Y
TR-0000085,2025-12-02,-893.08,Y
TR-0000088,2025-12-15,26.95,Y
TR-0000089,2025-10-13,1427.68,Y
TR-0000090,2026-06-22,722.36,Y
TR-0000092,2026-01-05,50.60,Y
TR-0000093,2026-04-22,1935.28,Y
TR-0000094,2026-07-23,2747.81,Y
TR-0000095,2026-01-14,6314.90,Y
TR-0000096,2025-12-10,2215.36,Y
TR-0000097,2026-03-30,7505.44,Y
TR-0000098,2026-01-08,2490.43,Y
TR-0000099,2026-05-09,4170.60,Y
